county,name,year,population
09,Gotlands län,1981,55623.0
09,Gotlands län,1982,55897.0
09,Gotlands län,1983,55987.0
09,Gotlands län,1984,56203.0
09,Gotlands län,1985,56144.0
09,Gotlands län,1986,56174.0
09,Gotlands län,1987,56269.0
09,Gotlands län,1988,56383.0
09,Gotlands län,1989,56840.0
09,Gotlands län,1990,57108.0
09,Gotlands län,1991,57383.0
09,Gotlands län,1992,57578.0
09,Gotlands län,1993,57751.0
09,Gotlands län,1994,58237.0
09,Gotlands län,1995,58120.0
09,Gotlands län,1996,57971.0
09,Gotlands län,1997,57791.0
09,Gotlands län,1998,57643.0
09,Gotlands län,1999,57428.0
09,Gotlands län,2000,57313.0
09,Gotlands län,2001,57412.0
09,Gotlands län,2002,57381.0
09,Gotlands län,2003,57535.0
09,Gotlands län,2004,57661.0
09,Gotlands län,2005,57488.0
09,Gotlands län,2006,57297.0
09,Gotlands län,2007,57122.0
09,Gotlands län,2008,57004.0
09,Gotlands län,2009,57221.0
09,Gotlands län,2010,57269.0
09,Gotlands län,2011,57308.0
09,Gotlands län,2012,57241.0
09,Gotlands län,2013,57161.0
09,Gotlands län,2014,57255.0
09,Gotlands län,2015,57391.0
10,Blekinge län,1968,150665.0
10,Blekinge län,1969,152373.0
10,Blekinge län,1970,153585.0
10,Blekinge län,1971,153960.0
10,Blekinge län,1972,154638.0
10,Blekinge län,1973,154634.0
10,Blekinge län,1974,155144.0
10,Blekinge län,1975,155336.0
10,Blekinge län,1976,154962.0
10,Blekinge län,1977,154565.0
10,Blekinge län,1978,154368.0
10,Blekinge län,1979,154135.0
10,Blekinge län,1980,153542.0
10,Blekinge län,1981,152628.0
10,Blekinge län,1982,152091.0
10,Blekinge län,1983,151884.0
10,Blekinge län,1984,151652.0
10,Blekinge län,1985,150959.0
10,Blekinge län,1986,150258.0
10,Blekinge län,1987,149600.0
10,Blekinge län,1988,149544.0
10,Blekinge län,1989,149960.0
10,Blekinge län,1990,150564.0
10,Blekinge län,1991,151168.0
10,Blekinge län,1992,151266.0
10,Blekinge län,1993,151853.0
10,Blekinge län,1994,153016.0
10,Blekinge län,1995,152737.0
10,Blekinge län,1996,151972.0
10,Blekinge län,1997,151692.0
10,Blekinge län,1998,151414.0
10,Blekinge län,1999,150625.0
10,Blekinge län,2000,150392.0
10,Blekinge län,2001,150017.0
10,Blekinge län,2002,149875.0
10,Blekinge län,2003,149889.0
10,Blekinge län,2004,150335.0
